"","title","year","date_published","genre","duration","country","language","avg_vote","votes"
"3567","Gambling on the High Seas","1940","1940-06-22","Crime, Drama, Thriller",55,"USA","English",6,210
"3573","Gold Rush Maisie","1940","1940-07-26","Comedy, Drama",82,"USA","English",6.4,334
"3577","Il grande McGinty","1940","1940-08-23","Comedy",82,"USA","English, Russian",7.3,3336
"3578","The Great Profile","1940","1940-08-30","Comedy",82,"USA","English",6.2,201
"3584","He Married His Wife","1940","1940-01-19","Comedy",83,"USA","English, French",6.1,183
"3585","Ha da veni'","1940","1941-01-10","Comedy",89,"USA","English",6.4,137
"3587","T'amerò follemente","1940","1940-09-13","Comedy",96,"USA","English",6.6,355
"3591","La casa dei sette camini","1940","1940-04-12","Drama, Thriller",89,"USA","English",7,965
"3603","Island of Doomed Men","1940","1940-05-20","Crime, Drama, Thriller",68,"USA","English",5.9,383
"3607","Suss l'ebreo","1940","1941","Drama",98,"Germany","German",5.2,2903
"3611","Kitty Foyle, ragazza innamorata","1940","1945-09-21","Drama, Romance",108,"USA","English",7,3096
"3612","Kleider machen Leute","1940","1940-09-16","Comedy, Drama",91,"Germany","German",6.5,225
"3620","Il villaggio più pazzo del mondo","1940","1940-11-09","Comedy",78,"USA","English",5,380
"3623","I due avventurieri","1940","1940-11-29","Comedy, Drama",84,"USA","English",5.7,299
"3631","Mad Youth","1939","1940-05-05","Drama",76,"USA","English",5.2,189
"3632","Maddalena... zero in condotta","1940","1940-12-31","Comedy",79,"Italy","Italian",6.2,296
"3633","The Man I Married","1940","1940-08-09","Drama",77,"USA","English, German",7,396
"3634","L'uomo che parlò troppo","1940","1940-07-16","Drama",76,"USA","English",6.5,252
"3640","Maryland","1940","1940-07-19","Drama",92,"USA","English",6,109
"3643","Mexican Spitfire Out West","1940","1940-11-29","Comedy",76,"USA","English",6.2,189
"3646","Millionaires in Prison","1940","1940-07-12","Crime, Drama",64,"USA","English",5.7,149
"3649","Bufera mortale","1940","1940-06-14","Drama",100,"USA","English",7.8,4406
"3656","Figlio figlio mio!","1940","1940-03-22","Drama, Romance",116,"USA","English",6.3,174
